title,price,company,moq,rating,nop,image,link,scrapedAt
S925 Sterling Silver Moissanite Diamond Pearl Bow Pendant Necklace Premium 925 Silver Jewelry for Gift Wedding or Engagement,23.89,"Shenzhen Daoyun Trade Co., Ltd.",Min. order: 1 piece,4.6,1 sold,https://s.alicdn.com/@sc04/kf/H49cc89fdf8cd473d81fc3a39eb99b3015.jpg_300x300.jpg,https://www.alibaba.com/product-detail/S925-Sterling-Silver-Moissanite-Diamond-Pearl_1601298734710.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:33:59.750Z
12.8V 100Ah Lifepo4 Battery Solar Batteries with 4000 Times Cycle Life Lithium Battery for Solar Energy Storage System 1280wh,100.00-130.00,Nuuko Solar GmbH,Min. order: 2 pieces,nil,nil,https://s.alicdn.com/@sc04/kf/Ha05e619d2fe9494998758bb762d42e298.png_300x300.png,https://www.alibaba.com/product-detail/12-8V-100Ah-Lifepo4-Battery-Solar_1601289809077.html,2025-02-19T08:33:59.912Z
Wholesale MINI Laser Engraving Machine Desktop Automatic Laser Marking Machine Woodworking Acrylic Cutting Machine,256.00-756.00,"Kingtai Craft Products Co., Ltd.",Min. order: 1 piece,4.5,nil,https://s.alicdn.com/@sc04/kf/H055bc9ea6bfe44cfab894e57e58de4b8o.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-MINI-Laser-Engraving-Machine-Desktop_1601369610332.html,2025-02-19T08:34:00.069Z
Fine Jewelry 1CT*2 CZ Earrings Dangle S925 Silver Sterling 6A Cubic Zirconia Pendant Earrings of Ladies Women Wedding,7.37,"Haifeng County Husky Jewelry Co., Ltd.",Min. order: 2 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/He63018fd195749489c169af3722accebr.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Fine-Jewelry-1CT-2-CZ-Earrings_1601252897028.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:34:00.247Z
Wireless CarPlay Adapter Car Play HDMI Magic Box for Apple CarPlay Video Streaming Dongle Wired to Wireless CarPlay Adapter,1.34-29.24,"Top High Technology Co., Ltd.",Min. order: 2 pieces,4.7,230 sold,https://s.alicdn.com/@sc04/kf/H96446e67f2464458b2be461de5c7ba180.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wireless-CarPlay-Adapter-Car-Play-HDMI_1601291775466.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:34:00.357Z
CarPlay Wireless Interface Android Auto Screen Mirroring Upgrade Decoder for Land Rover Discovery Sport HSE Range Rover 14-17,268.00,"Zhanjiang Azton Electronic Technology Co., Ltd.",Min. order: 1 piece,4.6,nil,https://s.alicdn.com/@sc04/kf/H5a45704b84164fd8a48c6ebb8ec76c48u.jpg_300x300.jpg,https://www.alibaba.com/product-detail/CarPlay-Wireless-Interface-Android-Auto-Screen_1601345564103.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:34:00.482Z
Wireless Carplay Module Box for Mazda With USB Adapter Wireless Carplay and Android Box Easy Install,68.00,"Shenzhen Smart Electronic Co., Ltd.",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/H593380d59d164cd2be33dc5a407389b3C.png_300x300.png,https://www.alibaba.com/product-detail/Wireless-Carplay-Module-Box-for-Mazda_1601359583229.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:34:00.639Z
Large Screen Android Car Navigation Wireless Carplay Adapter Reversing Image All-in-One Machine for 02-08 Audi A4,118.00,"Shenzhen Nanyue Star Technology Co., Ltd.",Min. order: 1 piece,nil,nil,https://s.alicdn.com/@sc04/kf/H7f08464cdd52438e80b4375f2513a8ff6.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Large-Screen-Android-Car-Navigation-Wireless_1601308858376.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:34:00.788Z
Ottocast Hot Selling Wireless Carplay Magic Box Wireless Carplay Adapter Appl Car Play Adapter with Universal for Most Cars,25.00,Cartizan Corporation Limited,Min. order: 10 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/Haf4fb84d09e9454fbfd2b8d72961aaba8.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Ottocast-Hot-Selling-Wireless-Carplay-Magic_1601367103948.html,2025-02-19T08:34:00.936Z
New Six-Axis Wake-Up Gamepad PC Gaming Wireless Game Controller for NS Switch with RGB Lighting Joystick Gamepad,18.00,"Guangzhou Haohe Technology Co., Ltd.",Min. order: 2 sets,nil,nil,https://s.alicdn.com/@sc04/kf/H709e1cc8b58d43b4b39ee9190dd28477V.png_300x300.png,https://www.alibaba.com/product-detail/New-Six-Axis-Wake-Up-Gamepad_1601345291474.html,2025-02-19T08:34:01.041Z
Wireless Carplay Ai Box Adapter for BMW NBT/CIC1 2 3 4 5 6 7 Series X1 X3 X4 X5 Compatible with Android Auto,119.90-129.90,"Shenzhen Zhiduojing technology Co., LTD",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/H281111720cd7474995743f27232a10cc8.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wireless-Carplay-Ai-Box-Adapter-for_1601368402668.html,2025-02-19T08:34:01.150Z
"Wireless Carplay Box For Peugeot Citroen MRN/SMEG System 7"" Android Auto Interface 2013-2016 Original Car Upgrades Screen",175.00,"Guangzhou Roadpassion Electronics Technology Co., Ltd.",Min. order: 1 piece,4.6,nil,https://s.alicdn.com/@sc04/kf/H2e9735abbcdd4839a41f405ced44bde0a.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wireless-Carplay-Box-For-Peugeot-Citroen_1601378168405.html,2025-02-19T08:34:01.279Z
Apple Wireless Carplay Video Interface Adapter Dodge Wireless Android Auto & Carplay Wireless Adapter,13.98-20.00,"Dongguan Huachuang Electronic Co., Ltd.",Min. order: 1 piece,4.5,nil,https://s.alicdn.com/@sc04/kf/H44ecbaa4044b49e1a5341bc8fd3a63a9x.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Apple-Wireless-Carplay-Video-Interface-Adapter_1601298456195.html,2025-02-19T08:34:01.431Z
Factory CarPlay Wireless Adapter Universal Car Wireless Carplay Dongle for Wired Car Play Wireless Adapter,21.28-22.50,"Shenzhen Huanpin Electronic Technology Co., Ltd.",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/Ha5dc7ef10d61491b9c7e56053d4e0f29j.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Factory-CarPlay-Wireless-Adapter-Universal-Car_1601356760788.html,2025-02-19T08:34:01.576Z
