title,price,company,moq,rating,nop,image,link,scrapedAt
Snack Food Products Sweet Cream Biscuit Milk Crispy Texture Cookies Danish Style Cookies,0.58-0.75,"Guangzhou Lailihong Food Industry Co., Ltd.",Min. order: 600 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/Hfba7febfa7fc4b9d919697c08a8b60b1z.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Snack-Food-Products-Sweet-Cream-Biscuit_1601368129165.html,2025-02-19T09:41:44.459Z
Wholesale Exotic 64g Chocolate Bar and Cookies Boxed Cheese Flavor Chocolate Wafers Biscuits Sweet Baking Process,1.13-1.26,"Zhengzhou Flyocean E - Commerce Co., Ltd.",Min. order: 30 pieces,nil,nil,https://s.alicdn.com/@sc04/kf/H7c61cc7c73b640c68978487c40dce1a9B.png_300x300.png,https://www.alibaba.com/product-detail/Wholesale-Exotic-64g-Chocolate-Bar-and_1601249270286.html,2025-02-19T09:41:44.675Z
NEW ARRIVAL SUPER GOOD WAFFLE SOZOLL EGG & MILK COOKIES 300G FROM HAIHA CONFECTIONERY - VIETNAM,10.27,HAIHA CONFECTIONERY JOINT STOCK COMPANY,Min. order: 500 cartons,nil,nil,https://s.alicdn.com/@sc04/kf/A46677d3c4f6b488e8cc79adad5732315q.jpg_300x300.jpg,https://www.alibaba.com/product-detail/NEW-ARRIVAL-SUPER-GOOD-WAFFLE-SOZOLL_10000016979985.html,2025-02-19T09:41:44.823Z
Wholesale Cookie Milk Chocolate Almond Chocolate bar 40g,1.21-1.35,"Zhengzhou Cheerful Trading Co., Ltd.",Min. order: 96 pieces,4.6,96 sold,https://s.alicdn.com/@sc04/kf/Hb1c3190880a24dd388d98e524447a8d0P.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Cookie-Milk-Chocolate-Almond-Chocolate_1600939118652.html,2025-02-19T09:41:45.022Z
Best Quality Pure Ingredients Sweet Taste 100% Italian Fresh Milk Biscuits Pan Di Stelle Mulino Bianco 350 G X 12,1.00,GUSTI D'ITALIA S.R.L.,Min. order: 1 pallet,nil,nil,https://s.alicdn.com/@sc04/kf/Ucaf895fc702b4ce28b00b25685eaaef8t.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Best-Quality-Pure-Ingredients-Sweet-Taste_11000001780000.html,2025-02-19T09:41:45.215Z
Wholesale Cartoon Cookie Milk Cookies Biscuit Children Cookie Exotic Snacks,19.68,"Guangzhou Shiyuan Cross-Border Trade Co., Ltd.",Min. order: 20 cartons,nil,nil,https://s.alicdn.com/@sc04/kf/Hfc5475a6cfb64f44bd01a36f5c009c0cm.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Cartoon-Cookie-Milk-Cookies-Biscuit_1601212269245.html,2025-02-19T09:41:45.416Z
Sale Milk Cookies Breakfast Mondelez,0.23-0.50,M-PACIFIC IMPORT EXPORT JOINT STOCK COMPANY,"Min. order: 1,000 bags",nil,nil,https://s.alicdn.com/@sc04/kf/Acf7c2f54715c4066a16b11e7dbfe13e5K.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Sale-Milk-Cookies-Breakfast-Mondelez_11000018899713.html,2025-02-19T09:41:45.655Z
Kitkat Milk Chocolate Original Wafer Cookies From Japan 144g*12 Packs/box,2.30,"Henan Ruileibai Import And Export Trading Co., Ltd.",Min. order: 24 cartons,4.1,28 views,https://s.alicdn.com/@sc04/kf/Hcdc3924664c1479ab78dc81ad66d3627p.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Kitkat-Milk-Chocolate-Original-Wafer-Cookies_1601007216023.html,2025-02-19T09:41:45.859Z
Cookies Biscuit Bulk Packaging OEM Support Sweet Taste Marshmallow Soft CHOCO PN Chocolate-Coated Pie 12-Month Shelf Life,0.60-0.80,PHAM NGUYEN CONFECTIONERY COMPANY LIMITED,"Min. order: 12,000 bags",5.0,nil,https://s.alicdn.com/@sc04/kf/Afa87f4258d254976b2554a776eafbc13X.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Cookies-Biscuit-Bulk-Packaging-OEM-Support_10000023301475.html,2025-02-19T09:41:46.056Z
Sweet Milk Salt Biscuit Cookies Crackers Crispy,13.30-22.00,"Weilong Food Co., Ltd.",Min. order: 1 carton,nil,nil,https://s.alicdn.com/@sc04/kf/Hd2bd7bd50cdc4a08803698b98d0ad7402.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Sweet-Milk-Salt-Biscuit-Cookies-Crackers_1600237241153.html,2025-02-19T09:41:46.205Z
