title,price,company,moq,rating,nop,image,link,scrapedAt
Exotic Snacks Wafer Roll Biscuits Wholesale Strawberry Vanilla Hazelnut Rolls Chocolate Wafer Rolls 85g,0.75,"Beijing Aifutaile Import & Export Trade Co., Ltd.",Min. order: 240 boxes,4.6,48,https://s.alicdn.com/@sc04/kf/Hfddccee6b3e54e5680d58680c402aa1fy.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Exotic-Snacks-Wafer-Roll-Biscuits-Wholesale_1601124198176.html,2025-02-19T10:18:09.334Z
160g Vanilla Strawberry and Hezelnut Flavor Wafer Biscuits Chocolate Wafers,0.51-0.65,"Guangzhou Lailihong Food Industry Co., Ltd.",Min. order: 100 packs,5.0,15604,https://s.alicdn.com/@sc04/kf/Ha9be7b8ddcef427b992b1e3bdaee98678.jpg_300x300.jpg,https://www.alibaba.com/product-detail/160g-Vanilla-Strawberry-and-Hezelnut-Flavor_1600055732411.html,2025-02-19T10:18:09.589Z
Strawberry Vanilla Chocolate Assorted Biscuits and Wafers Snack,9.00-10.00,Guangzhou Infinitas Food Technology Company Limited,"Min. order: 12,000 cartons",5.0,0,https://s.alicdn.com/@sc04/kf/Ha419c22baa83486194feaaa68a9fd6b4t.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Strawberry-Vanilla-Chocolate-Assorted-Biscuits-and_1600812725338.html,2025-02-19T10:18:09.726Z
Wholesale Hot Sale Oreo0 Small Square Sandwich Cookies Vanilla Chocolate Flavor 42g,0.90-1.02,"Zhengzhou Cheerful Trading Co., Ltd.",Min. order: 24 pieces,4.6,8,https://s.alicdn.com/@sc04/kf/Hd717aca98eff459294845a589ad2acaaR.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Hot-Sale-Oreo0-Small-Square_1600565897413.html,2025-02-19T10:18:09.917Z
Chinese Snack Franzzi Cookies 115g Vanilla Lemon Chocolate Flavored Sandwich Falitz Cookies Biscuit,0.95-1.19,"Henan Ruileibai Import And Export Trading Co., Ltd.",Min. order: 24 packs,4.1,2,https://s.alicdn.com/@sc04/kf/H71930dbcd9924732baa697ae708873c70.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Chinese-Snack-Franzzi-Cookies-115g-Vanilla_1600827078311.html,2025-02-19T10:18:10.075Z
Supply Hot Selling Pocky Chocolat Biscuit Biscuits and Cookies,0.69-0.89,"Zhengzhou Onion Trading Co., Ltd.",Min. order: 36 pieces,4.9,4,https://s.alicdn.com/@sc04/kf/H5e62281b54f74a32bb8bf983c38498e21.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Supply-Hot-Selling-Pocky-Chocolat-Biscuit_1600946270178.html,2025-02-19T10:18:10.229Z
Korean Oreoo Vanilla Snacks Sandwich Biscuit Casual Crisp 80g China Box Packaging South Korea Biscuit Sweet Instant,1.85-1.92,Henan Rui Enbo Trading Company Ltd.,Min. order: 24 pieces,4.3,7,https://s.alicdn.com/@sc04/kf/H34663a48625947afaced63ca83770b6fo.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Korean-Oreoo-Vanilla-Snacks-Sandwich-Biscuit_1600756689584.html,2025-02-19T10:18:10.400Z
Pieces Sweets Choco Coin Sugar Free Bonbon Raw Candies Compound Biscuit Dark Chocolates Round Manufacturer,6.20-8.90,"Shantou Yixin Food Co., Ltd.",Min. order: 500 barrels,nil,0,https://s.alicdn.com/@sc04/kf/H7ee26b7008404ae2ac204f7c5291a7419.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Pieces-Sweets-Choco-Coin-Sugar-Free_1600513299077.html,2025-02-19T10:18:10.604Z
Hot Selling 115g Exotic Snacks With Various Flavors Biscuits Chinese Snacks Matcha Chocolate Sandwich Biscuits,0.49-0.55,"Zhengzhou Well Known Trading Co., Ltd.",Min. order: 36 bags,5.0,0,https://s.alicdn.com/@sc04/kf/Hd17d6f1d7b2d4820900e99ee9f4624506.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Hot-Selling-115g-Exotic-Snacks-With_1601042816614.html,2025-02-19T10:18:10.761Z
Good Taste Wholesale Custom Fortune Cookies,22.00,"Jiangsu Nuoyiran Import And Export Co., Ltd.",Min. order: 10 cartons,4.9,128,https://s.alicdn.com/@sc04/kf/HTB1IE7ickxz61VjSZFrq6xeLFXaw.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Good-Taste-Wholesale-Custom-Fortune-Cookies_62174352209.html,2025-02-19T10:18:10.940Z
