title,price,nop,image,link,scrapedAt
Chocolate Chip Cookie Recipes (Cookie Cookbook Book 2),0,4,https://m.media-amazon.com/images/I/71YNbLSAB6L._AC_UL320_.jpg,https://www.amazon.com/Chocolate-Chip-Cookie-Recipes-Cookbook-ebook/dp/B0BPHGYG6D/ref=sr_1_11?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-11,2025-02-19T10:17:23.995Z
"Fragrance Oil Dessert Set, Scented Oil for Soap & Candle Making, Essential Oils for Diffuser-Coffee, Vanilla, Chocolate and More(6 * 10ML)",11,346,https://m.media-amazon.com/images/I/81Mnxylqt6L._AC_UL320_.jpg,https://www.amazon.com/FUHITIM-Fragrance-Essential-Diffuser-Coffee-Chocolate/dp/B0BPHBZTHN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-12,2025-02-19T10:17:24.117Z
"Baker's Mart Ingredient Set | Wooden Play Food Baking Groceries | Includes Baking Soda, Chocolate, Milk, Sugar, Vanilla, Flour, Sprinkles, Butter and Egg | Pretend Play Food Kitchen Accessories",24,739,https://m.media-amazon.com/images/I/81yfa2KXnEL._AC_UL320_.jpg,https://www.amazon.com/Ingredient-Groceries-Chocolate-Sprinkles-Accessories/dp/B07J9RQB5Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-15,2025-02-19T10:17:24.462Z
Top 75 Yummy Vanilla Extract Recipes: A Yummy Vanilla Extract Cookbook for Effortless Meals,9,0,https://m.media-amazon.com/images/I/71CJbPC2ZBL._AC_UL320_.jpg,https://www.amazon.com/Top-Yummy-Vanilla-Extract-Recipes/dp/B08GRDQ6DF/ref=sr_1_16?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-16,2025-02-19T10:17:24.581Z
"Holamay Dessert Fragrance Oils, Scented Oils Set of 10 Sweet Soap & Candle Making Scents - Creamy Vanilla, Apple Cinnamon, Cookies and More, Aromatherapy Diffuser Oils, Holiday Essential Oils Set",13,0,https://m.media-amazon.com/images/I/71-AcjqM1ZL._AC_UL320_.jpg,https://www.amazon.com/Holamay-Dessert-Fragrance-Scented-Candle/dp/B09P1C89HM/ref=sr_1_18?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-18,2025-02-19T10:17:24.817Z
"Hello! 365 Vanilla Extract Recipes: Best Vanilla Extract Cookbook Ever For Beginners [Vanilla Bean Cookbook, Dark Chocolate Cookbook, Italian Cookie Cookbook, Easy Cheesecake Recipe] [Book 1]",0,0,https://m.media-amazon.com/images/I/71TG0eCUtrL._AC_UL320_.jpg,https://www.amazon.com/Hello-365-Vanilla-Extract-Recipes-ebook/dp/B085S1WFLT/ref=sr_1_19?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-19,2025-02-19T10:17:24.949Z
Snifty SPPC004 Chocolate Chip Cookie Scented Pen,9,6,https://m.media-amazon.com/images/I/61d5KyvTJkL._AC_UL320_.jpg,https://www.amazon.com/Snifty-SPPC004-Chocolate-Cookie-Scented/dp/B08376PTH2/ref=sr_1_22?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-22,2025-02-19T10:17:25.255Z
"LA BELLEFÉE Wax Melts Wax Cubes, Scented Wax Melts Soy Wax Candle Melts, Wax Melts Christmas Scents for Warmer, Balsam & Cedar, Apple Cider, Cookies for Santa, Vanilla Cupcake, Hot Chocolate, Pumpkins",15,1965,https://m.media-amazon.com/images/I/81iC0T6jHWL._AC_UL320_.jpg,https://www.amazon.com/Winter-Wax-Melts-Christmas-Chocolate/dp/B0CL4F5DF8/ref=sr_1_24?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-24,2025-02-19T10:17:25.464Z
"Christmas Wax Melts,Scented Soy Wax Cubes Set for Wax Warmer-Christmas Cake, Eggnog,Candy Canes, Gingerbread, Mistletoe, Christmas Pudding, Hot Chocolate, and Vanilla Sugar Cookies, 8x2.5oz",14,163,https://m.media-amazon.com/images/I/71cqJwWPDSL._AC_UL320_.jpg,https://www.amazon.com/Soulorigin-Christmas-Warmer-Christmas-Gingerbread-Mistletoe/dp/B0D319Y4RL/ref=sr_1_27?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-27,2025-02-19T10:17:25.774Z
"Everything Chocolate: A Decadent Collection of Morning Pastries, Nostalgic Sweets, and Showstopping Desserts",4,0,https://m.media-amazon.com/images/I/91XqTOektmL._AC_UL320_.jpg,https://www.amazon.com/Everything-Chocolate-Collection-Nostalgic-Showstopping-ebook/dp/B07SQMS712/ref=sr_1_28?dib=eyJ2IjoiMSJ9.mR0URtS8MIHKSvGxGbHZqG9P87CAEWh9Qa6sVRZyPd4M9aQNkEL8BB50QsdW_LA1nMDBIsI3g2eqkBCllEEmLQ5xbAHtmMV-i0Fbheg3TxqOAUPD1WXzsqmIj3lv7Rd7jpeZG7_MAUotQhRzjoM70Q1g4pGKsGNiYnTdMW9kcUtAuip0kVqkHokOlYC7QKAKD9b_zCGE2me1xdY08Z4rgqj3tjGoRkZI0axrPnu8KgIDclvh5tYzf3EWCd7au9Az4vgChmFaWS34DqaqCVBk97NETM_-UlTDL92aY_-H1Bwm9dW_o1EPX2newl55EHJ0FBzbilSy2_a1Jmws3D3ar4zAj7ItW09Nk93sUs6AOGDUzA_zACWBJT5wVD6_xzQ4d-TO0UpSuRB7BB9Iizqh9-C1eGtArkyz_dJFBg_x8TRTn9SWCtZ1BA2mNjiAF0VM.OWJeDpRCTPO0ERxLIzn-RKZ5PFpSxFzAymfy5DQyh_g&dib_tag=se&keywords=Chocolate+Vanilla+Cookies&qid=1739960232&sr=8-28,2025-02-19T10:17:25.878Z
