title,price,company,moq,rating,nop,image,link,scrapedAt
Luxury Custom Printing Handmade Paper Gold Foil Holidays Merry Christmas Tree Boxed Greeting Cards With Envelopes Set,0.41-0.71,"Wenzhou Xinchao Stationery Co., Ltd.",Min. order: 500 boxes,1.6,nil,https://s.alicdn.com/@sc04/kf/Ha8e052eadca8494789df7d92f7eb1022e.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Luxury-Custom-Printing-Handmade-Paper-Gold_1600442538447.html,2025-02-12T07:24:09.634Z
Blank Gift Certificates with Envelopes Gift Card Vouchers for Personal or Small Business,0.03-0.06,Dongguan Tangxia Fenghehai Trading Firm,Min. order: 500 pieces,4.2,nil,https://s.alicdn.com/@sc04/kf/H2d559f738eb547d489696c3f3cc3ce993.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Blank-Gift-Certificates-with-Envelopes-Gift_1601296219480.html,2025-02-12T07:24:10.761Z
Wholesale Custom Thank You Card Custom Size for Your Business Purchase Card Gift Card for Jewelry Small Business or Bulk Order,0.22,"Sichuan Feimeng Network Technology Co., Ltd.",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/Hdc469c4f694a4094a0e36c9a91cd4828r.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Custom-Thank-You-Card-Custom_1601076422021.html,2025-02-12T07:24:13.869Z
Factory Price PVC Gift Cards Custom Printable Qrcode VIP Card Scratch off Membership Promotion NFC Card,0.03-0.18,"Shenzhen Zd Technology Co., Ltd.",Min. order: 100 pieces,4.8,"17,509 sold",https://s.alicdn.com/@sc04/kf/Hf0935700ea8e464c9b79c569c859ad915.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Factory-Price-PVC-Gift-Cards-Custom_1601204700860.html,2025-02-12T07:24:14.280Z
"Plastic Gift Cards With Logo And Barcode,Qr Code Pvc Gift Card,Serial Number Discount PVC Cards",0.02-0.30,"Shenzhen Prostek Card Co., Ltd.",Min. order: 100 pieces,4.9,"402,700 sold",https://s.alicdn.com/@sc04/kf/Ha6e80da4a58a4a0ca1bdb451c7ea8b64P.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Plastic-Gift-Cards-With-Logo-And_1600335720035.html,2025-02-12T07:24:14.946Z
Amazoones 50$ Storable Gift Card Easy to Store with Included Receipt,45.00,Tilifuni LLC,Min. order: 2 units,5.0,21 sold,https://s.alicdn.com/@sc04/kf/Abd92b6bae3ec41e88d2e9924e12b0ceaD.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Amazoones-50-Storable-Gift-Card-Easy_11000020565005.html,2025-02-12T07:24:17.765Z
Fast Delivery Cheap Price CMYK Printing CR80 Plastic PVC Membership VIP gift Card/Business Card/Greeting Thank You,0.01-0.06,"Wenzhou Huicai Card Industry Co., Ltd",Min. order: 500 pieces,4.7,"1,000 sold",https://s.alicdn.com/@sc04/kf/H51942b71107343fbb488d71b8ba6babcT.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Fast-Delivery-Cheap-Price-CMYK-Printing_1600870662632.html,2025-02-12T07:24:24.332Z
Retail MOQ5 Mother's Gift 3D Popup Flower Greeting Cards White Daisy Flower Paper Gift Card Present Fo Lover Girl,1.49,"Jinhua Senyi Packaging Co., Ltd.",Min. order: 5 pieces,4.4,1 sold,https://s.alicdn.com/@sc04/kf/H94d406c804d64295bc4d5f03016c36f4Y.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Retail-MOQ5-Mother-s-Gift-3D_1601194121496.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-12T07:24:25.572Z
Wholesale Price Custom Printing PVC Barcode Plastic Cards Gift Card with Serial Number Magnetic Stripe and QR Code,0.07-0.70,"Lingchuang Co., Ltd.",Min. order: 100 pieces,4.9,"1,000 sold",https://s.alicdn.com/@sc04/kf/H6a5e3d5b10434c5ebe064df53aa24a26q.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Price-Custom-Printing-PVC-Barcode_1600674951199.html,2025-02-12T07:24:27.480Z
Customized luxury printing Business Gift Card gold foil Thank You Cards Custom with Logo,0.50,"Guangzhou Hanshen Trading Co., Ltd.",Min. order: 100 pieces,4.8,300 sold,https://s.alicdn.com/@sc04/kf/H8ff672d9f934439b97f379ea6779a67fA.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Customized-luxury-printing-Business-Gift-Card_1600910856436.html?selectedCarrierCode=SEMI_MANAGED_ECONOMIC@@ECONOMY,2025-02-12T07:24:27.854Z
Customized Protective Paper Letter Gift Card Thank You Card With Envelope and Stickers,0.01-0.06,"Shenzhen Ridongsheng Printing Co., Ltd.",Min. order: 500 pieces,4.8,"2,000 sold",https://s.alicdn.com/@sc04/kf/H3308dcfb43cd40b3b5c97fadd1402913V.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Customized-Protective-Paper-Letter-Gift-Card_1600387762339.html,2025-02-12T07:24:28.365Z
MIFARE Ultralight C RFID Paper Hotel Card Hotel Greeting Cards RFID Hotel Key Card With Customized Logo Printing,0.15,"Chengdu Mind Iot Technology Co., Ltd.",Min. order: 500 pieces,4.9,4 views,https://s.alicdn.com/@sc04/kf/H733bd3633e894cbd98dfe0dc61035f1aS.jpg_300x300.jpg,https://www.alibaba.com/product-detail/MIFARE-Ultralight-C-RFID-Paper-Hotel_1600821024344.html?s=p,2025-02-12T07:24:29.367Z
2023 Hot Sale Custom Plastic barcode printed loyalty gift pvc cards,0.60,Chongqing 2406 E-Commerce Ltd.,Min. order: 100 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/H6c8a6f94f9aa4c5e8cdd8d0985b61acaA.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2023-Hot-Sale-Custom-Plastic-barcode_1600984371675.html,2025-02-12T07:24:29.910Z
2023 Hot Sale OEM High Quality Printed PVC Magnetic Stripe Hotel Key Card,0.22,"Chengdu Mind Iot Technology Co., Ltd.",Min. order: 500 pieces,4.9,nil,https://s.alicdn.com/@sc04/kf/H04a20da6dc644b24b83a743236db2cd8Z.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2023-Hot-Sale-OEM-High-Quality_1601000374357.html?s=p,2025-02-12T07:24:30.792Z
Plastic promotion gift card with paper card holder,0.02-0.15,"Guangzhou Decano Smartcard Co., Ltd.",Min. order: 500 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/Hfb05e72eae4e4a82ba41a1602f4fe3128.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Plastic-promotion-gift-card-with-paper_1600104223952.html,2025-02-12T07:24:31.128Z
Factory Price Hotel Key Card Holder Hotel Key Card Envelopes With Golden Foil Logo,0.30,"Chengdu Mind Iot Technology Co., Ltd.",Min. order: 500 pieces,4.9,nil,https://s.alicdn.com/@sc04/kf/Hfb0ee6fe7c9b4a1b92403f1d4a6d525du.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Factory-Price-Hotel-Key-Card-Holder_1600864230692.html?s=p,2025-02-12T07:24:35.652Z
ADD YOUR LOGO Rose-Gold-Gift Certificate Modern Glittery Printable GiftCard Voucher,0.01-0.03,"Shaoxing Xiling Import And Export Co., Ltd.",Min. order: 100 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/H74140e0300774e3dafc43e4b171ef585y.jpg_300x300.jpg,https://www.alibaba.com/product-detail/ADD-YOUR-LOGO-Rose-Gold-Gift_1600730756416.html,2025-02-12T07:24:43.173Z
0.4mm 0.5mm Black Matte Blank Laser Engraved Metal Gift Card for business,0.45-0.55,"Shenzhen Yeridi Technology Co., Ltd.",Min. order: 50 pieces,4.7,175 sold,https://s.alicdn.com/@sc04/kf/H233e9204e1d84f5e8e24746b702251afY.jpg_300x300.jpg,https://www.alibaba.com/product-detail/0-4mm-0-5mm-Black-Matte_1600846434423.html,2025-02-12T07:24:45.701Z
Custom Logo Business Thank You Cards Thank You Gift Card For Small Business Wedding Birthday With Envelopes,0.10,"Yiwu Shengwen Electronic Technology Co., Ltd.",Min. order: 100 units,4.8,nil,https://s.alicdn.com/@sc04/kf/H88ea95241bfb4f6681b18fe3a95a0727p.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Custom-Logo-Business-Thank-You-Cards_1601274925433.html?selectedCarrierCode=SEMI_MANAGED_ECONOMIC@@ECONOMY,2025-02-12T07:24:46.167Z
