title,price,company,moq,rating,nop,image,link,scrapedAt
Sharut 2025 XXL Size Modest Style Dubai Abaya Puff Sleeve Corduroy Kaftan for Muslim Women Casual Winter Wear,14.50,"Yiwu Sharut Import And Export Co., Ltd.",Min. order: 5 pieces,4.6,6 sold,https://s.alicdn.com/@sc04/kf/H22b053da16e1469fa99cef11198e6ce4k.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Sharut-2025-XXL-Size-Modest-Style_1601297335781.html,2025-02-19T08:36:04.783Z
Wholesale Girls' Long Sleeve Mesh Cartoon Printed Puff Cute Holiday Party Christmas,5.15-6.71,"Shenzhen Good Baby Kids Products Co.,limited",Min. order: 10 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/H819c8eb08f474e65a816fc4c7328db786.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Girls-Long-Sleeve-Mesh-Cartoon_1601308098686.html,2025-02-19T08:36:04.978Z
New Arrival Islamic Clothing Corduroy Plus Size Womens Winter Abaya Women Muslim Puff Sleeve Muslim,15.00,Dongguan Mexizo Garment Ltd.,Min. order: 2 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/Hb76c851c04154defbacdb7d8555a74753.jpg_300x300.jpg,https://www.alibaba.com/product-detail/New-Arrival-Islamic-Clothing-Corduroy-Plus_1601275459917.html,2025-02-19T08:36:05.215Z
Trendy Elegant Crew Neck Dresses Hot Sale Dress Embroidery Hollow Lace Muslim Women Newest Puff Sleeves Abaya Kaftan,16.50,"Xi'an Uni Trading Co., Ltd.",Min. order: 2 pieces,4.5,nil,https://s.alicdn.com/@sc04/kf/H9d74c34650d94f0eb40cadcc0951eac7s.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Trendy-Elegant-Crew-Neck-Dresses-Hot_1601285806869.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:05.409Z
Islamic Clothing Polyester Abaya Dress Wholesale Sleeves Printed Puff Sleeves and Loose Fit Women Muslim,12.00-18.00,Shanghai Rosewood Fashion Ltd.,Min. order: 2 sets,4.2,nil,https://s.alicdn.com/@sc04/kf/H9f4df3b7000d4cdea7fdc84e4ea359cfe.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Islamic-Clothing-Polyester-Abaya-Dress-Wholesale_1601297638403.html,2025-02-19T08:36:05.636Z
Custom Fashion Sheer Glitter Organza Dress Islamic New Model Femme V Neck Luxury Muslim Puff Sleeves Abaya Women Dubai,22.00-28.00,"Dongguan Yiersan Clothing Co., Ltd.",Min. order: 50 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/Hc607888d313b4999b0ac9c0ed358df29W.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Custom-Fashion-Sheer-Glitter-Organza-Dress_1601271487653.html,2025-02-19T08:36:05.917Z
Islamic Clothing Wholesale Abaya Dubai 2024 Muslim Lady Elegant Puff Sleeves Modest Maxi Casual for Women,11.90-14.90,Guangzhou Liyu Garment Co.ltd,Min. order: 50 pieces,4.9,nil,https://s.alicdn.com/@sc04/kf/H2d6d8fad4c904d4583d18da2cb9314d93.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Islamic-Clothing-Wholesale-Abaya-Dubai-2024_1601291015309.html,2025-02-19T08:36:06.122Z
Women's Casual Abaya Dress With Puff Sleeve Cardigan Wholesale Breathable Clothing for Adults for Hijab,16.71,"Hunan Pro-Win Import & Export Co., Ltd.",Min. order: 3 pieces,4.4,nil,https://s.alicdn.com/@sc04/kf/H4c89a9410e2c48abad4578876fd45f03q.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Women-s-Casual-Abaya-Dress-With_1601291600399.html,2025-02-19T08:36:06.323Z
2024 HO Style Abaya Women Muslim Dress Elegant Puff Sleeve Maxi Dubai Islamic Robe With Belt,6.84,"Yuanyang County Hanou Department Store Co., Ltd.",Min. order: 2 pieces,4.3,nil,https://s.alicdn.com/@sc04/kf/Hd1107d7658d341229fca1a8be70bb634k.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-HO-Style-Abaya-Women-Muslim_1601252922955.html,2025-02-19T08:36:06.644Z
Vintage Printed Long-sleeved Puff-sleeved Waist Lace-up Print Flower Floral,10.28,"Guangzhou Laiqiong Clothing Trading Co., Ltd.",Min. order: 2 pieces,4.6,nil,https://s.alicdn.com/@sc04/kf/H09a151b421654d9da10d2ba1019187dek.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Vintage-Printed-Long-sleeved-Puff-sleeved_1601365145042.html,2025-02-19T08:36:06.846Z
"New Chiffon Leopard Print Lantern Sleeve Long Sleeved for Early Spring 2025, Street Lapel and Puffy Skirt for Women",20.60,"Xuzhou Suzhili International Trade Co., Ltd.",Min. order: 2 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/He878d23975614faa9f25457bafce979eW.png_300x300.png,https://www.alibaba.com/product-detail/New-Chiffon-Leopard-Print-Lantern-Sleeve_1601356912060.html,2025-02-19T08:36:07.036Z
Womens Clothing Manufacturers Stand Collar Puff Sleeve Lace up Button Elegant Printed Floral Midi,19.00,"Dongguan Kaqi Garment Co., Ltd.",Min. order: 50 pieces,5.0,8 sold,https://s.alicdn.com/@sc04/kf/H91810eacd54e4ee39da0b4139a10b29aC.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Womens-Clothing-Manufacturers-Stand-Collar-Dress_1601333075709.html,2025-02-19T08:36:07.250Z
Graceful Latest Abaya Women Muslim Dress Solid 2 Pieces Set Elegant Muslim Puff Sleeves Muslim for Women,17.20-18.00,"Gansu Jijian Network Technology Co., Ltd.",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/Ha1d832c524354ccca3f16f1c5fe65a67Y.jpeg_300x300.jpeg,https://www.alibaba.com/product-detail/Graceful-Latest-Abaya-Women-Muslim-Dress_1601243278327.html,2025-02-19T08:36:07.445Z
Ivy83736A Autumn Spring 2024 Newest Long Sleeve Denim Girl Kids Loose Design Baby Cute Puff Sleeve,7.19,"Hefei Ivy Trading Co., Ltd.",Min. order: 5 pieces,4.6,nil,https://s.alicdn.com/@sc04/kf/He66821c3dca2434e8ae210f2d54b5680k.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Ivy83736A-Autumn-Spring-2024-Newest-Long_1601243111242.html,2025-02-19T08:36:07.638Z
Wholesale Women Clothing Sexy Evening Dress Slim-fit Puff Sleeve Satin Women Elegant Maxi,15.50,"Guangzhou Kanoshi Clothing Co., Ltd.",Min. order: 2 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/Hc7edab9ade3b48dc8ec0ca4297d2c6d26.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Women-Clothing-Sexy-Evening-Dress_1601292429982.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:07.841Z
SongYi Women's High Neck Casual Slim Shawl Abaya Puff Sleeves Dubai Fashion 2-Piece Set Muslin,16.92,"Yiwu Songyi E-Commerce Co., Ltd.",Min. order: 2 pieces,nil,nil,https://s.alicdn.com/@sc04/kf/Hb3d0201fd7984dec97c3f165ebd162c8U.jpg_300x300.jpg,https://www.alibaba.com/product-detail/SongYi-Women-s-High-Neck-Casual_1601363229357.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:08.030Z
2024 Fall Toddler Girl Long Sleeved Beige Pink Navy Letter Print Puff Sleeved Sweatshirt,8.05,"Guangzhou Pengman Trading Co., Ltd.",Min. order: 3 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/Hffedd841daa24260a33efa9bd2e087c3G.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-Fall-Toddler-Girl-Long-Sleeved_1601275203711.html,2025-02-19T08:36:08.233Z
2025 New Women's Casual Clothing V Neck Pleated Skirt Spring and Autumn Lady Elegant Puff Sleeve A-Line,11.70,"Guangzhou Xinweiye Garment Trading Co., Ltd.",Min. order: 100 pieces,3.5,nil,https://s.alicdn.com/@sc04/kf/Hbd93597e493845abad3f719fc9d53dd3c.png_300x300.png,https://www.alibaba.com/product-detail/2025-New-Women-s-Casual-Clothing_1601365168301.html,2025-02-19T08:36:08.435Z
Girls' Autumn Princess Dress Korean Version New Long-sleeved Two-piece Puff Sleeve Children's Skirt,3.00,"Yiwu Wanting Trading Co., Ltd.",Min. order: 5 pieces,4.7,5 sold,https://s.alicdn.com/@sc04/kf/H86fd26aaa6cf4c918b1696129e4694140.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Girls-Autumn-Princess-Dress-Korean-Version_1601270428249.html,2025-02-19T08:36:08.639Z
OEM Custom Long Puff Sleeves Solid Color Waist Fashion Women Muslim Elegant Abaya Gowns,15.61-20.29,"Guangzhou Smo Import & Export Co., Ltd.",Min. order: 50 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/H5a9a58f0e50f460990696fb95524295ey.jpg_300x300.jpg,https://www.alibaba.com/product-detail/OEM-Custom-Long-Puff-Sleeves-Solid_1601275940801.html,2025-02-19T08:36:08.836Z
Cheap Price Puff Sleeve Morocco Muslim Hijab Dress Women Abaya Kaftan Casual Evening Woman Turkey Islam Robe,8.30,"Guangzhou Samwestart Technology Co., Ltd.",Min. order: 2 pieces,4.6,nil,https://s.alicdn.com/@sc04/kf/Hd9d087ca03884d14b07f5ba1375c718du.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Cheap-Price-Puff-Sleeve-Morocco-Muslim_1601360763794.html,2025-02-19T08:36:09.042Z
LE1009 Elegant Women's Embroidery Mesh Midi Dress O-Neck Wedding with Beading Belt Puff Sleeves Lady Flowing Style,26.00,"Guangzhou Zhier Clothing Co., Ltd.",Min. order: 2 pieces,nil,1 sold,https://s.alicdn.com/@sc04/kf/H98520bff460a4821b0ff777a8ed1cda5S.jpg_300x300.jpg,https://www.alibaba.com/product-detail/LE1009-Elegant-Women-s-Embroidery-Mesh_1601350416732.html,2025-02-19T08:36:09.236Z
Summer Fashion Vegetable and Fruit Printed Round Neck Puff Sleeve Gentle Temperament Waist-Controlled Slimming,12.89,"Hengshui Liou Import And Export Trade Co., Ltd.",Min. order: 3 units,4.2,nil,https://s.alicdn.com/@sc04/kf/He33a8ffbb1344a53aaca47a4bd69eb01P.jpeg_300x300.jpeg,https://www.alibaba.com/product-detail/Summer-Fashion-Vegetable-and-Fruit-Printed_1601298729650.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:09.413Z
Girls Spring and Summer Dress Lantern Sleeves Mesh Puff Sleeves Love Embroidery Children Sleeve,5.50,"Foshan Hongshang Textile Co., Ltd.",Min. order: 1 piece,4.7,nil,https://s.alicdn.com/@sc04/kf/Hd4caa74ce8314e58b1e0182eee14d441M.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Girls-Spring-and-Summer-Dress-Lantern_1601366380555.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:09.599Z
Casual Women's Flash Wrap around V-Neck Mini Dress Sleeve Puff Sleeve Sequin Solid Chiffon Natural Waistline Plain Dyed,11.00,"Fuzhou Gaoxin District Yiyan Clothing Trading Co., Ltd.",Min. order: 2 pieces,4.8,nil,https://s.alicdn.com/@sc04/kf/Hdce0e0d066d64ff6954d83ad5822a6adM.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Casual-Women-s-Flash-Wrap-around_1601345133970.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:36:09.780Z
Girls Spring and Autumn Long Sleeve Dress 2025 Western Style Bowknot Puff Sleeve Skirt,8.58-9.03,"Huzhou Zhili Huoxingmiao Apparel Co. , Ltd.",Min. order: 6 pieces,4.6,nil,https://s.alicdn.com/@sc04/kf/He0dc3680246141b99aa07c9ce583bf78z.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Girls-Spring-and-Autumn-Long-Sleeve_1601359406940.html,2025-02-19T08:36:09.970Z
