title,price,company,moq,rating,nop,image,link,scrapedAt
2024 New Button-Down Casual Cotton Denim Dress Simple Pocket Plus Commuter Skirt Sexy Party Girls Summer All-Matching,10.90,"Guangzhou Fanximan Clothing Co., Ltd",Min. order: 2 pieces,4.4,7 sold,https://s.alicdn.com/@sc04/kf/H6ae9f92da6264df48a83ec6c6be32729H.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-New-Button-Down-Casual-Cotton_1601288137575.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T07:34:49.700Z
On Sale Casual Sexy Jacket Top Skirt Denim Short Tassels Flare Women Maid Jean Women,13.50,"Guangzhou Amunyelia Trading Co., Ltd.",Min. order: 2 pieces,4.5,1 sold,https://s.alicdn.com/@sc04/kf/He9b230cdce00491d83916a227c7e5425m.jpg_300x300.jpg,https://www.alibaba.com/product-detail/On-Sale-Casual-Sexy-Jacket-Top_1600988265942.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T07:34:50.009Z
Wholesale Ladies Short Sleeve A-line Denim Splicing for Women,12.99,"Huzhou Xuanning Electronic Commerce Co., Ltd.",Min. order: 2 pieces,4.6,8 sold,https://s.alicdn.com/@sc04/kf/Heb98e9633b504a41acd53d44af5302698.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Ladies-Short-Sleeve-A-line_1601207791864.html,2025-02-19T07:34:50.245Z
QFZ692 -Spring New Women Clothing Fashion Temperament Denim Effect Shirt,28.99,"Yiwu Hongyi Clothing Co., Ltd.",Min. order: 1 carton,4.2,4 sold,https://s.alicdn.com/@sc04/kf/H3efe0ae2449c43849139f628b3fb53557.jpg_300x300.jpg,https://www.alibaba.com/product-detail/QFZ692-Spring-New-Women-Clothing-Fashion_1601376274029.html,2025-02-19T07:34:50.472Z
TAOP&ZA Women's 2025 Spring New Layered Decorative Pleated Hem Denim Effect 6929084,7.80,"Suzhou Moshansu Clothing Co., Ltd.",Min. order: 1 bag,4.7,nil,https://s.alicdn.com/@sc04/kf/H677cb38338384c67addb91cc15c7b1bcT.jpg_300x300.jpg,https://www.alibaba.com/product-detail/TAOP-ZA-Women-s-2025-Spring_1601368199356.html,2025-02-19T07:34:50.657Z
Stylish Designed Lady Patchwork Jeans Cloth Women Sleeveless Slim Fitted Mini Denim Slips,25.00,"Shenzhen Ou Sha Li Clothing Co., Ltd.",Min. order: 1 piece,4.6,nil,https://s.alicdn.com/@sc04/kf/H0d9ca47a33ce4b8d8bb7ee9e465f0132L.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Stylish-Designed-Lady-Patchwork-Jeans-Cloth_1601216301157.html,2025-02-19T07:34:50.841Z
2024 New Round Neck Short Sleeve Splicing Denim Female Sense Waist Fake-two-piece Long Skirt,13.99,"Jiangxi Wellna Clothing Co., Ltd.",Min. order: 2 pieces,4.4,nil,https://s.alicdn.com/@sc04/kf/H854b307b8b904e6eac931079128749fb5.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-New-Round-Neck-Short-Sleeve_1601257270349.html,2025-02-19T07:34:51.066Z
Channel Summer Button Down Bodycon Collared Sleeveless Denim Jean for Women Casual,11.14,"Xiamen Channel Trading Co., Ltd.",Min. order: 3 pieces,4.7,nil,https://s.alicdn.com/@sc04/kf/H294643246218480782e6900bc11015b5Y.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Channel-Summer-Button-Down-Bodycon-Collared_1601338685960.html,2025-02-19T07:34:51.313Z
Newest Fashion Sexy Hot Summer Sleeveless Women Lady Casual Hollow Out Lace up Mini Pleated Jean Denim,13.60,"Jinjiang Xiangying Trading Co., Ltd.",Min. order: 1 piece,4.8,nil,https://s.alicdn.com/@sc04/kf/Hfb747e07a1c34771bffc10e3096bae6bq.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Newest-Fashion-Sexy-Hot-Summer-Sleeveless_1601144351954.html,2025-02-19T07:34:51.528Z
Jean Denim Dress Off Shoulder Short Mini Bodycon Tube Fur Ostrich Feather Party Club Summer Trending Production Women Natural,13.80,"Dongguan Yuema Clothing Co., Ltd.",Min. order: 50 pieces,4.8,4 views,https://s.alicdn.com/@sc04/kf/H8342f43febd74da9bc0cdf2b7695193cZ.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Jean-Denim-Dress-Off-Shoulder-Short_1600696151768.html,2025-02-19T07:34:51.722Z
