title,price,nop,image,link,scrapedAt
Women's Denim Dress Sexy V Neck Bodycon Sleeveless Jeans Short Dresses,49,,https://m.media-amazon.com/images/I/61NswGOophL._AC_UL320_.jpg,https://www.amazon.com/Womens-Bodycon-V-Neck-Sleeveless-Dresses/dp/B09ZQM7Q5V/ref=sr_1_1?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-1,2025-02-19T07:24:28.958Z
Womens Denim Dress Sexy Sleeveless Split Bodycon Mini Tube Jeans Short Dresses,36,54,https://m.media-amazon.com/images/I/71FCbyorWIL._AC_UL320_.jpg,https://www.amazon.com/Womens-Sleeveless-Bodycon-Dresses-Medium/dp/B0CBMVGX58/ref=sr_1_2?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-2,2025-02-19T07:24:29.140Z
Women's Summer Tie Shoulder Sleeveless Denim Mini Dress Casual Flowy Swing Pleated Short Denim Dress,30,10,https://m.media-amazon.com/images/I/71eCL5NUK9L._AC_UL320_.jpg,https://www.amazon.com/Womens-Summer-Shoulder-Sleeveless-Pleated/dp/B0D4QQC9YY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-3,2025-02-19T07:24:29.318Z
Fronage Women's Sexy Jeans Denim Strapless Dresses Bodycon Corset Tube Mini Dress,39,223,https://m.media-amazon.com/images/I/51xXB3fjndL._AC_UL320_.jpg,https://www.amazon.com/Fronage-Denim-Strapless-Mini-Dress/dp/B0CC8GKRZM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-4,2025-02-19T07:24:29.445Z
utcoco Denim Dress for Women Sleeveless Side Slit Bodycon Midi Jean Dresses for Women 2025,38,362,https://m.media-amazon.com/images/I/61nnB4TWroL._AC_UL320_.jpg,https://www.amazon.com/utcoco-Sleeveless-Bodycon-Dresses-X-Small/dp/B0CJNH4HFQ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-5,2025-02-19T07:24:29.574Z
Women’s Summer Ruffle Sleeveless Adjustable Strap Denim Mini Dress Casual Backless A Line Short Dress,30,4,https://m.media-amazon.com/images/I/61CCTkEC4PL._AC_UL320_.jpg,https://www.amazon.com/Womens-Summer-Sleeveless-Adjustable-Backless/dp/B0D4TH29GD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-6,2025-02-19T07:24:29.710Z
utcoco Denim Dress for Women Ruffle Adjustable Strap Sleeveless Backless Babydoll Mini Jean Dresses,33,53,https://m.media-amazon.com/images/I/61GfrSBNw0L._AC_UL320_.jpg,https://www.amazon.com/utcoco-Adjustable-Sleeveless-Backless-Babydoll/dp/B0DBHQZDQL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-7,2025-02-19T07:24:29.835Z
luvamia Denim Dress for Women Summer Short Sleeve Button Down Collared Pleated Western Jean Dresses with Pockets Relaxed,19,144,https://m.media-amazon.com/images/I/81GFi+8e3NL._AC_UL320_.jpg,https://www.amazon.com/luvamia-Womens-Fashion-Dresses-X-Large/dp/B0CQJVLY5Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-8,2025-02-19T07:24:29.949Z
KDF Summer Denim Dress for Women Puff Sleeve Slim Fit Jean Dresses for Women 2024 Casual,41,194,https://m.media-amazon.com/images/I/81bGB5cvZYL._AC_UL320_.jpg,https://www.amazon.com/KDF-Summer-Sleeve-Dresses-Casual/dp/B0C72H24M9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-9,2025-02-19T07:24:30.078Z
Zilcremo Women Denim Shirt Dresses Long Sleeve Distressed Jean Dress Button Down Casual Tunic Top,39,"8,266",https://m.media-amazon.com/images/I/71HwgHk0VLL._AC_UL320_.jpg,https://www.amazon.com/Zilcremo-Dresses-Sleeve-Tassels-Lightblue/dp/B07QXYC7MS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.MMK9mCGCRlilbzawF-hfsuE98NfDDFcacC-TZgknbZRqIRvsMcFjp2ZdrK-yHRvkAVWqFxuiQXX1JQ1qvu3rkfbluLBp21uiPx7uBiSw9j7YxOkwPCyJ5WEx4ZbpXDt2Vz8L_-ViWdwvAgZ7ma-42avOvTeC7M_fsCKicCzZHcyB1PATz7mveLxG_qOpsnFjYRR3wGj0MclFN2GpssK5CzBF6WeGkQ30vOCBPVdbO-mj_CjL91hiymOvUUTtgaZFUkngmuBxd-nbgekGA0PgAJh8cUuZe8gQWQuZpDrIK5C8xBEQ646_YfOaR9HEEdZuhnnyBMBJDxwjSxAwZHIs0Rr7tyHz6DosD1JAZIEvCkOF8bGVSxycqfsAPT7FJBz0qxlTb4DIJ1XrBsvDKrFsVCONEsKS1O_qFlfcx05ogWJKMuKKyY-6B2w2lKwduDZX.0FZcrDBYRoKguSNMd0Qt2nz-1xeYwbY5b_d00Xf1AN0&dib_tag=se&keywords=SHORT+DENIM-EFFECT+DRESS&qid=1739949858&sr=8-10,2025-02-19T07:24:30.206Z
