title,price,nop,image,link,scrapedAt
Acelitt Womens Summer Sleeveless Side Cut Out Drawstring Ruched Mini Wedding Guest Dress,32,333,https://m.media-amazon.com/images/I/71UjWD-wp6L._AC_UL320_.jpg,https://www.amazon.com/Acelitt-Wedding-Summer-Drawstring-Textured/dp/B0CQYMG3LT/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-1,2025-02-19T10:23:23.050Z
PRETTYGARDEN Women's Summer Short T Shirt Dress Cap Sleeve Crew Neck Casual Loose Basic Mini Dresses,39,324,https://m.media-amazon.com/images/I/71BO56Jax2L._AC_UL320_.jpg,https://www.amazon.com/PRETTYGARDEN-Womens-Summer-Sleeve-Dresses/dp/B0CYLJHCNB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-2,2025-02-19T10:23:23.161Z
Kaximil Women's Square Neck Ruffle Hem Mini Dress Ruched Waist Long Sleeve Corset Short Party Dresses,40,0,https://m.media-amazon.com/images/I/61lehJaQluL._AC_UL320_.jpg,https://www.amazon.com/Kaximil-Womens-Square-Dresses-X-Large/dp/B0DKDS7S99/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-3,2025-02-19T10:23:23.275Z
Women's Summer Bodycon Dresses Sexy Sleeveless V Neck Backless Vacation Cocktail Party Club Mini Tank Y2K Dress,35,58,https://m.media-amazon.com/images/I/71j5t-yznaL._AC_UL320_.jpg,https://www.amazon.com/ZREQV-Sleeveless-Backless-Vacation-Cocktail/dp/B0D16XBL3W/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-4,2025-02-19T10:23:23.576Z
EXLURA Women's 2025 Summer Casual Square Neck Dresses Ruffle Short Sleeve Swiss Dot Flowy Mini Dress,39,561,https://m.media-amazon.com/images/I/71zdUnbOEjL._AC_UL320_.jpg,https://www.amazon.com/EXLURA-Womens-Sundress-Smocked-Flutter/dp/B0BLNP68K3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-5,2025-02-19T10:23:23.686Z
"Acelitt Womens Casual Summer Crewneck Short Sleeve Ribbed Mini Tshirt Dress, XS-3XL",29,804,https://m.media-amazon.com/images/I/81og0StizbL._AC_UL320_.jpg,https://www.amazon.com/Acelitt-Dresses-Fashion-Crewneck-Vacation/dp/B0CM25ZZXV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-6,2025-02-19T10:23:23.792Z
GRACE KARIN Womens Tweed Dress 2025 Summer Short Sleeve Button Bodycon Elegant Work Mini Dress Casual Dresses with Pocket,42,76,https://m.media-amazon.com/images/I/813rVfDK+QL._AC_UL320_.jpg,https://www.amazon.com/GRACE-KARIN-Bodycon-Dresses-Business/dp/B0DGPGVHNL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-7,2025-02-19T10:23:23.904Z
Dokotoo Womens Spring Summer Crewneck Puff Sleeve Chiffon Elegant Empire Waist Mini Short Swing Skater Dresses with Pockets,36,1054,https://m.media-amazon.com/images/I/718Zb9YwljL._AC_UL320_.jpg,https://www.amazon.com/Dokotoo-Dresses-Crewneck-Buttoned-Lantern/dp/B0BQR56JFQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-8,2025-02-19T10:23:24.012Z
WIHOLL Women's Summer Sleeveless Boat Neck Mini Dress Slim Fit Party Club Bodycon Dresses,28,939,https://m.media-amazon.com/images/I/71syDniLRxL._AC_UL320_.jpg,https://www.amazon.com/WIHOLL-Sleeveless-Bodycon-Dresses-Graduation/dp/B0CXDFVCRY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-9,2025-02-19T10:23:24.120Z
PRETTYGARDEN Summer Dresses for Women 2025 Sleeveless Bodycon Mini Sundress Casual Short Wedding Guest Dress,29,29,https://m.media-amazon.com/images/I/81Zxc4VGKyL._AC_UL320_.jpg,https://www.amazon.com/PRETTYGARDEN-Dresses-Sleeveless-Bodycon-Sundress/dp/B0DNYMVS2L/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nZ53_TQPD4T-1avMiKTfgxbqeNklpP7Yo4LEwl2vkkTgp0jo552qweVB-Os0fcyl0T7bt41uKYPsV6tQbDpYMYrYnUCwnw8o1umyKaNkNcf_AvTRFFlndNKI-noW_qMuVdl-HBUZudlhhHXMBZoE7oY3c_1mNMO_Nes0icQMx9mqOD1TMNIi7ZnCOOV0Ff5tpScTuEp7ugZ-gtvGo97-JphlEoQKRCKOCJcYM4VhCPnNKbPKDkxUF9B1AIhA3iJmCaca4zYyEu2KUSdiLo5lK3B3Nb0r3IkWmxPKC3Gun2emqm5D2mBMy69yWpgA47NGEN3Zd9Uvs064lG42O-TjyLBoZGx2LyoDQ1ss18taB4ewve46jLJPBset_0-TVxLsEvUID2d6P4RORfZKi1Xlst9ItC87cm7xx2U56sx--trBQoYztX33kUNO2QUQ4w3N.05mgAic2N3rnjKYN-ua1lsGAqrNmr6JUmiz6ao4BMkc&dib_tag=se&keywords=SHORT+TEXTURED+DRESS&qid=1739960593&sr=8-10,2025-02-19T10:23:24.227Z
