title,price,nop,image,link,scrapedAt
The Children'S Place Girls Short Sleeve Basic Skater Dress,11,3776,https://m.media-amazon.com/images/I/61F01fQUuIL._AC_UL320_.jpg,https://www.amazon.com/Childrens-Place-Girls-Short-Sleeve/dp/B07MW3LNMF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-1,2025-02-23T15:58:35.842Z
blibean Girls Summer Tie Back Dress Tween Kids Off Shoulder Dresses Size 4-15 Years,22,0,https://m.media-amazon.com/images/I/61TjTlWug8L._AC_UL320_.jpg,https://www.amazon.com/blibean-Shoulder-Clothing-Vestidos-Xx-Large/dp/B0BMNZ6G59/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-2,2025-02-23T15:58:36.248Z
EXARUS Girls Long Sleeve/Spaghetti Strap Bodycon Dress Tight Short Ruched Homecoming Party Special Occasion Dance,35,227,https://m.media-amazon.com/images/I/61sh1Ck0DmL._AC_UL320_.jpg,https://www.amazon.com/EXARUS-Sleeve-Bodycon-Summer-Dresses/dp/B0CRDWBMRR/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-3,2025-02-23T15:58:36.470Z
Arshiner Girls Tie Back Short Sleeve Ruffle Hem Off Shoulder Casual Elegant Dresses 4-12 Years,33,1377,https://m.media-amazon.com/images/I/51uh9qb5fXL._AC_UL320_.jpg,https://www.amazon.com/Arshiner-Trendy-Dresses-Spring-Sleeves/dp/B09QRXY5XT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-4,2025-02-23T15:58:36.692Z
Arshiner Girl's Contrast Mesh Puff Long Sleeve High Waist A Line Short Dress with Pockets for 6-13 Years,35,836,https://m.media-amazon.com/images/I/71ExhX3U1SL._AC_UL320_.jpg,https://www.amazon.com/Arshiner-Girls-Contrast-Sleeve-Pockets/dp/B0C8ML7CZ7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-5,2025-02-23T15:58:36.887Z
Tao-Ge Christmas Tutu Dress for Girls Tulle Dresses Fairy Princess Dress for Kids Toddler Little Girl Birthday Party Outfit,25,5307,https://m.media-amazon.com/images/I/61mtBEXrUuS._AC_UL320_.jpg,https://www.amazon.com/LEEGEEL-Handmade-Sunglasses-Birthday-Photography/dp/B0754JV9Y4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-6,2025-02-23T15:58:37.195Z
Little Girls Kids Summer Chiffon Ruffle Mini Dress Square Neck Lantern Sleeve Short Dress Tulle Smocked,30,581,https://m.media-amazon.com/images/I/618W20IvY4L._AC_UL320_.jpg,https://www.amazon.com/Little-Summer-Chiffon-Lantern-Smocked/dp/B09LS3Q7VP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-7,2025-02-23T15:58:37.466Z
Mebius Girls Spaghetti Strap Bodycon Ruched Dress V Neck Party Summer Sleeveless Short Tight Pencil Dresses,24,50,https://m.media-amazon.com/images/I/71G+aB8yU3L._AC_UL320_.jpg,https://www.amazon.com/Spaghetti-Bodycon-Summer-Sleeveless-Dresses/dp/B0C61WSXGS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-8,2025-02-23T15:58:37.674Z
EXARUS Girls Ruched Bodycon Dress Teens Mesh Lantern Sleeve Party Dance Homecoming Tight Short Pencil Dresses,26,61,https://m.media-amazon.com/images/I/61xxm+rG5SL._AC_UL320_.jpg,https://www.amazon.com/EXARUS-Bodycon-Spaghetti-Sleeveless-Dresses/dp/B0DCSJ9X9C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-9,2025-02-23T15:58:37.893Z
Haloumoning Girls Contrast Mesh Long Sleeve High Waist A Line Short Dress with Pockets 4-14 Years,19,64,https://m.media-amazon.com/images/I/61o5GJjAvfL._AC_UL320_.jpg,https://www.amazon.com/Haloumoning-Girls-Contrast-Sleeve-Pockets/dp/B0D14KLPLQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Khbi8wy8GT2F-0iIK8kWYHM5zHcPUOquwQZTyv5916Xw7kcWiW0sciZv0zwtWIIMO3eTViHFEYbEc6KhgKyilG6VTdCM6po-aDmcsu2W6HtXfCtq7up8hnHJc5iLrrRgyclcE7TcjIWkPNb6chnpewO7E2GbGklFegpNbBRKIPowuoda442RGQFnZeEd6rsHukpwh2Au8EWvBZOR14djSDPaRrKPbtNOBrbVz69f-l14dR9x2FR1pegUvawGf3g5mYhIooRK_Smr5mQSDaRJ9hIRPxVP7OuDuJjd9qlU-U3lLLqzvik_oZL-uDcnswjOoj9h4DM7M4c3OeHZC_IoL9YWpdxdd9HXZvRIU-9zzKUhzlrqvfSnoUWXuLWvbgcso2_r9gsZ-P3nNuOotSfgMsxpSxDhVUGYdqjskuyWI4SOwOAxPkxu9FCfn6mceZOG.Q1rknO1P0j78jR86L0BXMHQAKI7FPOAjN2Qir139xtA&dib_tag=se&keywords=Short+Black+Dress+for+Girls&qid=1740326308&sr=8-10,2025-02-23T15:58:38.076Z
