title,price,nop,image,link,scrapedAt
SportsStuff Wood Snowboards/Snow Sleds - Beginner Kids Winter Sports Accessories - 90cm-130cm Models,46,"1,982",https://m.media-amazon.com/images/I/81PhyZ57RyL._AC_UL320_.jpg,https://www.amazon.com/Kwik-AIRHEAD-RIDER-Hardwood-Snowboard/dp/B01L0KAUO4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-1,2025-02-19T06:43:35.168Z
"The Original Geospace Sledsterz Kids Beginner Snowboard for Winter Fun on Snow, with Adjustable Step-in Bindings; for Kids Between 4 to 12 Years Old",44,550,https://m.media-amazon.com/images/I/81id7vCI-bL._AC_UL320_.jpg,https://www.amazon.com/Sledsterz-Original-Snowboard-Geospace-Blue/dp/B01N021EXR/ref=sr_1_2?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-2,2025-02-19T06:43:35.509Z
ESP Snowboard,46,"1,635",https://m.media-amazon.com/images/I/51MCoh7-qtL._AC_UL320_.jpg,https://www.amazon.com/EMSCO-Group-Snowboard-Beginners-Construction/dp/B0002EH3N6/ref=sr_1_3?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-3,2025-02-19T06:43:35.764Z
Lib Tech Cygnus BM Mens Snowboard,"1,199",List:,https://m.media-amazon.com/images/I/71K-pcKH4IL._AC_UL320_.jpg,https://www.amazon.com/Lib-Tech-Cygnus-Mens-Snowboard/dp/B0D94ZF1KB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-6,2025-02-19T06:43:36.799Z
SportsStuff Wood Boards/Sleds,87,nil,https://m.media-amazon.com/images/I/516snxqZmwL._AC_UL320_.jpg,https://www.amazon.com/Sportsstuff-Hardwood-Snowboard-Beginners-Suprahero/dp/B0CTZM8T2Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-7,2025-02-19T06:43:36.901Z
"findway Ski Goggles OTG - Over Glasses Snow/Snowboard Goggles for Men, Women & Youth - 100% UV Protection",25,snowboard,https://m.media-amazon.com/images/I/61srCRYbeQL._AC_UL320_.jpg,https://www.amazon.com/findway-Goggles-Snowboard-Snowboarding-Glasses/dp/B07MW2R64Z/ref=sr_1_fkmr0_1?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-1-fkmr0,2025-02-19T06:43:37.509Z
"findway Ski Goggles OTG - Over Glasses Snow/Snowboard Goggles for Men, Women & Youth - 100% UV Protection",25,"8,606",https://m.media-amazon.com/images/I/61srCRYbeQL._AC_UL320_.jpg,https://www.amazon.com/findway-Goggles-Snowboard-Snowboarding-Glasses/dp/B07MW2R64Z/ref=sr_1_fkmr0_1?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-1-fkmr0,2025-02-19T06:43:37.695Z
"The Original Geospace Sledsterz Kids Beginner Snowboard for Winter Fun on Snow, with Adjustable Step-in Bindings; for Kids Between 4 to 12 Years Old",44,550,https://m.media-amazon.com/images/I/81rrddfReqL._AC_UL320_.jpg,https://www.amazon.com/Original-Sledsterz-Snowboard-Geospace-Red/dp/B01N021CG9/ref=sr_1_fkmr0_2?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-2-fkmr0,2025-02-19T06:43:37.811Z
"YESLIFE Ski Mask, Face Mask for Men and Women – Skiing, Snowboarding, Motorcycle, UV Protection & Wind Protection",6,snowboarding,https://m.media-amazon.com/images/I/5195OSYTAfL._AC_UL320_.jpg,https://www.amazon.com/YESLIFE-Black-Mask-Balaclava-Women/dp/B09ZTXK9K5/ref=sr_1_fkmr1_1?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-1-fkmr1,2025-02-19T06:43:37.923Z
"YESLIFE Ski Mask, Face Mask for Men and Women – Skiing, Snowboarding, Motorcycle, UV Protection & Wind Protection",6,"7,657",https://m.media-amazon.com/images/I/5195OSYTAfL._AC_UL320_.jpg,https://www.amazon.com/YESLIFE-Black-Mask-Balaclava-Women/dp/B09ZTXK9K5/ref=sr_1_fkmr1_1?dib=eyJ2IjoiMSJ9.p3-1llNDRJjhcb2xPkOqKJIogg3WFB2UGNEWsxswN7wFIb9KQpGm5MRNiQDVNAk6u5O5kLpVs1j4gEugml6N52HJ5-oDYGmD_7YjxzLYg4DenNkdveR3o7nmXs15uB-JS_sd_DK2vpb1aze0JgZ-15WBv5OyPlrsE_M7UvUVDeXzK68-wLF8TDNLo8lUCim-.nbK-RWVSDvDqeMYlm6bNcXdmw1X1uR6yYtVB41Lcvvw&dib_tag=se&keywords=The+Compare+at+Price+Snowboard&qid=1739947407&sr=8-1-fkmr1,2025-02-19T06:43:38.106Z
