title,price,company,moq,rating,nop,image,link,scrapedAt
OEM Service Custom Stretch Organic Cotton Ladies Backless Elegant Evening Gown Casual Slip Midi Women With Ties,16.89-18.98,"Dongguan Xinyuan Fashion Apparel Co.,Limited",Min. order: 50 pieces,5.0,0,https://s.alicdn.com/@sc04/kf/H0bbeb2b482b04e4e9a73e62be4d07f88C.png_300x300.png,https://www.alibaba.com/product-detail/OEM-Service-Custom-Stretch-Organic-Cotton_1600884582919.html,2025-02-19T10:19:07.712Z
BPS02119 Womens 2020 New Tie Neck Dress Cotton Short Sleeve Pleated A-Line Floral Pattern Vintage Printed,12.85-14.99,"Grace Karin Evening Dress Co., Limited (Suzhou)",Min. order: 150 pieces,5.0,0,https://s.alicdn.com/@sc04/kf/Ha624f51e7b3c4913aa9179214e39031ct.jpg_300x300.jpg,https://www.alibaba.com/product-detail/BPS02119-Womens-2020-New-Tie-Neck_60726175786.html,2025-02-19T10:19:07.847Z
2022 Wholesale Plus Size Sleeveless Tie Shoulder Tiered Women Linen Maxi Beach Casual,14.90-16.90,Guangzhou Sinkar Garment,Min. order: 70 pieces,5.0,0,https://s.alicdn.com/@sc04/kf/H8951b19a1be94d5abdb34279586ad8e9w.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2022-Wholesale-Plus-Size-Sleeveless-Tie_1600455946452.html,2025-02-19T10:19:08.006Z
Organic Cotton Terry Dress Tie-dyed,12.00,"Shaoxing Ecou Textile Co., Ltd.",Min. order: 500 kilograms,5.0,40,https://s.alicdn.com/@sc04/kf/H863a04a07ff6470f8b57588c647452c69.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Organic-Cotton-Terry-Dress-Tie-dyed_1601164927239.html,2025-02-19T10:19:08.115Z
New Design Back Ties Sleeveless Dresses Slim Fitting Bodice Loose Ladies Halter Backless Midi for Women,13.20,"Dongguan Tongrui Clothing Co., Ltd.",Min. order: 30 pieces,4.9,0,https://s.alicdn.com/@sc04/kf/H49551f24224842b3bb0232be3092623eU.jpg_300x300.jpg,https://www.alibaba.com/product-detail/New-Design-Back-Ties-Sleeveless-Dresses_1601031698759.html,2025-02-19T10:19:08.219Z
Red Floral Application Cotton Jersey Strapless Denim Mini Casual Women's Evening Mini Women's Ruched Part Clothing,36.00,Shenzhen Nanshan District Muller Haute Couture Women's Clothing Factory,Min. order: 30 pieces,5.0,3,https://s.alicdn.com/@sc04/kf/Hc446a8eeca5c4cd2a5a65289fad9b042w.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Red-Floral-Application-Cotton-Jersey-Strapless_1601157647507.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T10:19:08.341Z
R41962S 2023 Spring New Arrival Lace Plain Solid Color Short Women,19.80,"Shanghai Choza Industrial Co., Ltd.",Min. order: 2 pieces,4.1,0,https://s.alicdn.com/@sc04/kf/H1c16639ca70b47a5b3c2bc6d3ae220cfl.jpg_300x300.jpg,https://www.alibaba.com/product-detail/R41962S-2023-Spring-New-Arrival-Lace_1600738800336.html,2025-02-19T10:19:08.437Z
Sustainable Wholesale Custom Linen Cotton Women Midi Loose Casual Long Sleeves Stripe Women's Linen Long Shirt,14.20-15.20,"Realchance Industries Group Co., Ltd.",Min. order: 200 pieces,5.0,0,https://s.alicdn.com/@sc04/kf/H0eb4e16ccbeb44e0b243390e9f6cf402z.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Sustainable-Wholesale-Custom-Linen-Cotton-Women_1600617640484.html,2025-02-19T10:19:08.538Z
Sexy Backless Bandage Butterfly Detail Long Dress Club Party Summer Sleeveless Maxi Elegant New Model Casual,8.26,"Yiwu Hongpei Apparel Co., Ltd.",Min. order: 2 pieces,4.3,0,https://s.alicdn.com/@sc04/kf/H834e59bd4f9f4e469f74f3622681d3c25.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Sexy-Backless-Bandage-Butterfly-Detail-Long_1601271964663.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T10:19:08.689Z
New Arrival Button Long Sleeve Detail Midi Dress Women,10.30,"Xiamen Tengqiao Clothes Co., Ltd.",Min. order: 2 pieces,4.8,4,https://s.alicdn.com/@sc04/kf/Hf22cd3c019b34ca190e54bafbd60f616u.jpg_300x300.jpg,https://www.alibaba.com/product-detail/New-Arrival-Button-Long-Sleeve-Detail_60851684877.html,2025-02-19T10:19:08.797Z
