title,price,nop,image,link,scrapedAt
Calvin Klein Women's Cotton Shirt Dress with Short Sleeve Tie Detail,148,3,https://m.media-amazon.com/images/I/71Nlr6ID9gL._AC_UL320_.jpg,https://www.amazon.com/Calvin-Klein-Womens-Cotton-Luggage/dp/B0CL172H2G/ref=sr_1_1?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-1,2025-02-19T06:58:53.270Z
Women's Cute Summer Short Puff Sleeve Tie Cotton Mini Dress,39,125,https://m.media-amazon.com/images/I/61XA+vzHtTL._AC_UL320_.jpg,https://www.amazon.com/MASKAZU-Womens-Summer-Sleeve-Babydoll/dp/B0D1P2SGYN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-2,2025-02-19T06:58:54.108Z
PRETTYGARDEN Womens Summer Casual Short Sleeve Dresses A Line Bow Tie Front Babydoll Loose Cute Mini Dress with Pockets,39,,https://m.media-amazon.com/images/I/71f0teJf-eL._AC_UL320_.jpg,https://www.amazon.com/PRETTYGARDEN-Womens-Dresses-Babydoll-Pockets/dp/B0DK6JFZ1J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-3,2025-02-19T06:58:55.202Z
Yousify Womens Summer Sleeveless Striped Dress Drawstring Waist Casual Tank Mini Dresses with Pockets,29,5,https://m.media-amazon.com/images/I/71INuZaaQ3L._AC_UL320_.jpg,https://www.amazon.com/Yousify-Womens-Dresses-Sleeveless-Striped/dp/B0DM4YJD6L/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-4,2025-02-19T06:58:55.678Z
CUPSHE Women's Mini Dress V Neck Flutter Sleeve Cotton Self Tie Back A Line Short Summer Cover Up Dress,39,41,https://m.media-amazon.com/images/I/61fbK8VvQGL._AC_UL320_.jpg,https://www.amazon.com/CUPSHE-Womens-Flutter-Sleeve-Cotton/dp/B0D1G89R6P/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-5,2025-02-19T06:58:56.099Z
NOLLSOM Women Casual Sleeveless Striped Tank Midi Dresses Halter Neck Ruched Bodycon Dresses Tie Waist T Shirt Summer Dress,35,"3,235",https://m.media-amazon.com/images/I/61SDdaXOAkL._AC_UL320_.jpg,https://www.amazon.com/NOLLSOM-Summer-Dresses-Bodycon-X-Large/dp/B0CNZ79Z6F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-6,2025-02-19T06:58:56.708Z
Zeagoo Womens Button Down Shirt Dress Summer Cotton Linen Dress V-Neck Mini Dress Casual Short Sleeve Loose Tunic Dresses,30,46,https://m.media-amazon.com/images/I/714LoS8sPDL._AC_UL320_.jpg,https://www.amazon.com/Zeagoo-Tshirt-Button-Cotton-Sundress/dp/B0DK21FN1L/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-7,2025-02-19T06:58:56.980Z
Wenrine Womens Summer V Neck Mini Dress Tie Shoulder Sleeveless Contrast Loose Casual Beach Dresses,32,2,https://m.media-amazon.com/images/I/61aUruztWFL._AC_UL320_.jpg,https://www.amazon.com/Wenrine-Shoulder-Sleeveless-Contrast-Dresses/dp/B0DQJRF8GR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-8,2025-02-19T06:58:57.204Z
Almere Women's Summer Flowy Open Back Adjustable Tie Detail Maxi Dress,34,3,https://m.media-amazon.com/images/I/61povL14PFL._AC_UL320_.jpg,https://www.amazon.com/Almere-Womens-Summer-Adjustable-X-Small/dp/B0D7MYX6QZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-9,2025-02-19T06:58:57.569Z
Women's Casual Halter Tiered Vacation Maxi Dress with Pockets,38,41,https://m.media-amazon.com/images/I/51K09DZrYRL._AC_UL320_.jpg,https://www.amazon.com/Amysister-Womens-Casual-Sleeveless-Pockets/dp/B0CS9NHQ54/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jkoVeR80VWV5MCvBPMAlOCFogHtp3oDTLg2mVEcpXrFKXOrX9VQhu5eKDwFm-EQpoIVzFV7r3WhOpdl26uwSNIDWpZu_wXqSO-5bYVtNliCbS8lCG-fOdc-CHF0tzkY0OqKPD8TTUafQ-RTodgblacUJvq8bofSP1QCpKLOr3S_Q6T5CWkUB-1mu6h7s5gdcuP-c-oIBZSyKN4TtjigbSh2CkmepJa8oj4yuLX4ozL2EdT0S5CU4AKkEFgKXeGobTuLkXERboHChVSIr_jmHzs4WvD_22t9Yp8uBxzbY2ZbT8uVpWc-cXYQNyVM_C8csi2zrG1qS0UTVp1NPgdW8giSdj_Il25pt_jm3jntSX_5Tc0P9zyrfG0TL4R13Xf4cnjFzb251mRQGMrx8qJ2x_P8iTIpxRAd8itG5m_btdSe5am5ov_86ouI3KHbPRtRn.Gzq6V9ibrcfgsDZV5QB15yQAiP-U5NfmjNoVd2ZHR8w&dib_tag=se&keywords=Tie-Detail+Cotton+Dress&qid=1739948326&sr=8-10,2025-02-19T06:58:57.953Z
