title,price,company,moq,rating,nop,image,link,scrapedAt
High-quality Linen Blend Fabric Dress Fitted With Panels Corset Strapless Dress Maxi Skirts Side Pockets,18.80-22.60,"Dongguan Tongrui Clothing Co., Ltd.",Min. order: 50 pieces,4.9,nil,https://s.alicdn.com/@sc04/kf/H8de0a3a69dfa4c27ae492c06880ac8e5M.jpeg_300x300.jpeg,https://www.alibaba.com/product-detail/High-quality-Linen-Blend-Fabric-Dress_1601004444894.html,2025-02-19T08:55:46.531Z
European Design High Waisted Women's Casual Wide Leg Office Trousers Slim Straight Long Pants Loose Flat Ladies' Summer Clothing,9.00,"Suzhou Givebest Import & Export Co., Ltd.",Min. order: 50 pieces,4.6,7 sold,https://s.alicdn.com/@sc04/kf/H0f3f86c4da7d4e3a85188d46a8f774396.jpg_300x300.jpg,https://www.alibaba.com/product-detail/European-Design-High-Waisted-Women-s_1601233532979.html?s=p&selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:46.685Z
Miyake Pleated Wide-leg Pants Women 2025 Summer Loose Casual Pants Elastic Plus Size Ladies Trousers Spot Fast Delivery,15.67,PY INDUSTRY LIMITED,Min. order: 2 pieces,5.0,nil,https://s.alicdn.com/@sc04/kf/Heb121dc3d3af425b9b068446791a7b1f4.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Miyake-Pleated-Wide-leg-Pants-Women_1601359339464.html,2025-02-19T08:55:46.837Z
European American Summer New Women's High-Waisted Casual Trousers Solid Color Loose Wide-leg Pants Lace-up,8.80-13.20,"Guangzhou Minghua Apparel Co., Ltd.",Min. order: 50 pieces,nil,nil,https://s.alicdn.com/@sc04/kf/H7dad25ddc4c84f2f9596ade244b43584f.png_300x300.png,https://www.alibaba.com/product-detail/European-American-Summer-New-Women-s_1601369683222.html?s=p,2025-02-19T08:55:46.990Z
Miyake 2023 New Design Split Baggy High Waist Wide Leg Pants Casual Straight Pants,18.00,"Fold Art Industry (shenzhen) Co., Ltd.",Min. order: 1 piece,4.7,2 sold,https://s.alicdn.com/@sc04/kf/H8d6263c90bd04781932950da48ec7edfq.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Miyake-2023-New-Design-Split-Baggy_1600592876236.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:47.153Z
Women 2024 Spring New Fashion Casual Pleat Pants Vintage High Zipper Fly Female Trousers Mujer,8.30,"Foshan Tengxin E-Commerce Co., Ltd.",Min. order: 2 pieces,4.5,nil,https://s.alicdn.com/@sc04/kf/Hccaad648b9b34d63b4258c83841c3c6eS.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Women-2024-Spring-New-Fashion-Casual_1601228321164.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:47.303Z
2024 European and American Fashion Popular Street Personalized Loose Ladies Elastic Pants,11.20,"Guangzhou Pzf Garment Co., Ltd.",Min. order: 30 pieces,4.4,4 sold,https://s.alicdn.com/@sc04/kf/Hd4746bb538ee439398304d0d6a64ee5cp.jpg_300x300.jpg,https://www.alibaba.com/product-detail/2024-European-and-American-Fashion-Popular_1600919353734.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:47.471Z
Women's Printed Sleeveless Pleated Waist With Ruffled Edges and Large Hem Casual Dress,9.94,"Guangzhou Balry International Trade Co., Ltd.",Min. order: 2 pieces,4.4,2 sold,https://s.alicdn.com/@sc04/kf/H9572dc61e5f94a7089b0b82728646b0cD.png_300x300.png,https://www.alibaba.com/product-detail/Women-s-Printed-Sleeveless-Pleated-Waist_1601135347538.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:47.612Z
Factory Oversized Casual Trousers Fit Pleated Dress Loose Custom Plain Baggy Skirt,16.85,"Guangzhou Neohope Clothing Co., Ltd.",Min. order: 1 piece,4.7,nil,https://s.alicdn.com/@sc04/kf/Hc118954084b346e794dc2c74140e928dk.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Factory-Oversized-Casual-Trousers-Fit-Pleated_1601096138108.html?selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD,2025-02-19T08:55:47.733Z
KAR&OT ZA 2024 New Women's Clothing Temperament Versatile High Slim Loose Wide Leg Trousers 7997272 7982272,7.30,"Suzhou Qianbailai Clothing Technology Co., Ltd.",Min. order: 1 bag,4.6,5 sold,https://s.alicdn.com/@sc04/kf/H287652506b5045e08cb09b6f0a5931aeL.jpg_300x300.jpg,https://www.alibaba.com/product-detail/KAR-OT-ZA-2024-New-Women_1601221592829.html,2025-02-19T08:55:47.867Z
