title,price,nop,image,link,scrapedAt
MIER Tennis Skirt for Women Pleated Golf Skirts with Shorts Pocket High Waisted Flowy Athletic Skort for Workout Pickleball,26,2,https://m.media-amazon.com/images/I/71m7z29QTgL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MDQ3NTQ5NzI2NDAyMTM4OjE3Mzk5NDgzMzI6c3BfYXRmOjMwMDY2NDk2MjUyMzUwMjo6MDo6&url=%2FMIER-Pleated-Athletic-Workout-Pickleball%2Fdp%2FB0DQ42FRBG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLsBWz45MsTBcERWl_tYWCKI.7psZihhS1GI2fBQ7onGefxdSBq6YA4ynJfTTB5PzgOY%26dib_tag%3Dse%26keywords%3DWomen%2527s%2BPleated%2BWaist%26qid%3D1739948332%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,2025-02-19T06:59:01.388Z
Basoteeuo Womens Skirt Leopard Print Midi Long Shirring Pleated Skirts High Waisted A Line Skirts,21,,https://m.media-amazon.com/images/I/61ZK8a9REWL._AC_UL320_.jpg,https://www.amazon.com/Black-Pleated-Waisted-Elastic-Skirts/dp/B09YYWVS45/ref=sr_1_2?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-2,2025-02-19T06:59:01.605Z
GRACE KARIN Women High Elastic Waist Pleated Chiffon Skirt Midi Swing A-line Skirts,35,"5,011",https://m.media-amazon.com/images/I/512AEnpPYWL._AC_UL320_.jpg,https://www.amazon.com/GRACE-KARIN-Elastic-Pleated-Chiffon/dp/B09MNFTY7M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-3,2025-02-19T06:59:01.895Z
ebossy Women's High Waist Flowy Pleated Chiffon Maxi Skirt,28,"2,766",https://m.media-amazon.com/images/I/61roWQJqaAL._AC_UL320_.jpg,https://www.amazon.com/ebossy-Womens-Waist-Pleated-Chiffon/dp/B07YHJLV7Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-4,2025-02-19T06:59:02.186Z
CIDER High Waist Pleated Wide Leg Pants,31,173,https://m.media-amazon.com/images/I/51Rrd8JGmzL._AC_UL320_.jpg,https://www.amazon.com/CIDER-High-Waist-Pleated-Pants/dp/B0CNSKH169/ref=sr_1_5?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-5,2025-02-19T06:59:02.572Z
Women Wide Leg High Waist Wide Leg Pants Loose Fit Back Elastic Waist Pleated Front Trousers for Work Casual,28,634,https://m.media-amazon.com/images/I/71PumpJZjXL._AC_UL320_.jpg,https://www.amazon.com/KICZOY-Womens-Elastic-Pleated-Trousers/dp/B0CMZHV7GY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-7,2025-02-19T06:59:03.013Z
Urban CoCo Women's Pleated High Waist Solid School Uniform Skirt,19,"1,113",https://m.media-amazon.com/images/I/61JlJOEZKwL._AC_UL320_.jpg,https://www.amazon.com/Urban-CoCo-Womens-Pleated-Uniform/dp/B08QTZFK3L/ref=sr_1_8?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-8,2025-02-19T06:59:03.200Z
"Womens Pleated Midi Skirt,High Waist Swing Boho Pleated Skirt Casual Chiffon Elastic A-line Long Skirts",18,"1,980",https://m.media-amazon.com/images/I/51pNtc4DytL._AC_UL320_.jpg,https://www.amazon.com/TEERFU-Womens-Ladies-Summer-Pleated/dp/B06XT75KJK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-9,2025-02-19T06:59:03.423Z
Youhan Women's High Waist A-Line Pleated Knitted Skirt,35,194,https://m.media-amazon.com/images/I/619z4AaqRvL._AC_UL320_.jpg,https://www.amazon.com/Youhan-Womens-Waist-Pleated-Knitted/dp/B07YQR1TZL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-10,2025-02-19T06:59:03.636Z
Womens Wide Leg Pants Casual Palazzo Flowy Pleated Trouser Woman Elastic High Waisted Loose Fit Lounge Pant Comfy 2025,14,45,https://m.media-amazon.com/images/I/515aXrl600L._AC_UL320_.jpg,https://www.amazon.com/PEIARA-Palazzo-Pleated-Trouser-Sweatpants/dp/B0DBG217WD/ref=sr_1_11?dib=eyJ2IjoiMSJ9.aokNG4_2dlw-b3Amp5SZr556qx9e-gy0q5GKJF8pIe13S7EMVJPg239BXaNZGMtNOz88d2RiST-S-Rucl0Olc0ceJVBl7b1MPD6xKdiiiwgpHVXv41aQcBAMCGpjn7L_zAvSQ0Wmh2bSozvLDdRIusYn5Z9LQaOKi6NjIrcTfxgTxJ9EXpKMMKQjST_2eXeiemJgg_FV0OepLb1rVs8lQRTJQzSAZ87GehNdw6fh7dcAkSnOrNbFWNtIKdmSJbl4IXSfBe5Kl95ccC0PT2yhLje4N506fKtbHotr8iORfx1IWUxxf69GAW9nRdiPHROxYGOeMRn9l30HDdOUYsFrc41HXJMRAyj2PkTUEuHrBcEk1AWB3CqlUcRgnbOzfOqPOQYt6rODT-jQhr-cVpPVPx1SxFR91tPkYBtSphzrS15IO8OrdW6Fk5TZnl_phq2E.vPAsxodtJVYBVhkniaNueZOnLsesC4TWujkFNWGsOQo&dib_tag=se&keywords=Women%27s+Pleated+Waist&qid=1739948332&sr=8-11,2025-02-19T06:59:03.860Z
